"","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","rank29","rank30","rank31","rank32","rank33","rank34","rank35","rank36","rank37","rank38","rank39","rank40","rank41","rank42","rank43"
"26",52,67,33,12,79,51,61,83,14,34,74,56,37,44,66,2,49,45,48,6,60,55,23,9,39,43,35,62,41,82,13,4,21,18,42,53,78,20,31,32,77,38,72
"27",67,48,82,42,4,60,13,53,37,52,12,61,43,32,38,51,62,44,66,31,72,41,2,34,14,33,21,35,74,77,56,39,45,9,18,6,23,83,49,46,57,79,55
"28",37,51,13,52,82,31,48,67,60,42,14,53,33,61,66,49,62,2,55,34,72,43,39,12,18,74,44,56,41,45,81,9,21,78,38,46,32,77,24,79,4,35,83
"29",32,67,66,39,2,12,52,82,34,37,45,77,62,41,49,44,33,18,56,61,14,4,42,38,51,53,35,43,31,74,48,55,72,79,26,21,75,60,13,57,81,9,83
"30",12,82,61,48,33,74,67,53,13,83,31,62,66,52,60,49,69,41,2,34,38,71,79,35,4,27,45,55,6,51,14,65,44,9,56,18,37,77,39,42,43,32,30
"31",27,4,82,32,66,37,31,67,12,14,53,48,35,13,74,51,56,42,18,49,77,45,41,55,44,6,3,34,33,9,43,38,83,52,2,60,79,62,61,39,23,71,86
"32",48,42,61,12,83,37,60,13,66,51,82,4,41,54,67,74,31,53,52,14,9,77,62,38,3,43,56,34,76,79,45,33,55,18,23,32,49,6,20,73,39,2,24
"33",48,39,13,82,12,32,27,51,52,67,53,31,4,49,74,83,66,18,14,62,60,37,42,33,77,55,34,76,81,38,56,61,2,6,3,44,16,9,8,45,79,43,41
"34",42,51,48,31,32,55,4,52,60,33,62,13,44,82,27,18,14,41,53,61,34,43,67,74,21,45,66,39,9,49,38,77,22,12,26,6,37,3,2,83,23,79,56
"35",52,66,32,51,12,48,14,82,13,18,44,31,61,41,37,42,45,67,83,53,74,79,38,55,34,77,62,56,3,2,28,49,39,60,33,65,43,16,4,27,11,69,81
"36",48,39,31,51,32,67,2,37,18,3,56,83,42,66,13,76,74,82,61,45,12,27,44,60,21,62,43,77,4,26,49,20,34,16,28,55,9,33,41,52,53,38,14
